serial,name,tag_l1,tag_l2,desc_len,description,desc_cn_len,rv,sig,total,reco_len,is_info_insufficient
#0907,Vori Health,养老服务,远程医疗,101,2020年创立、2025年B轮获5300万美元的肌骨整合照护平台，全美首个医生主导模式让MD与物理治疗师同次问诊消除转诊等待，服务Fortune 200企业与健康险；差异在把肌骨疼痛做成高价值医疗护理。,101,63.7,5.55,12.3,195,0
#1405,福州小阿迈科技有限公司,康复辅具/消费品,跌倒监测/智能硬件,101,我们产品为英国皇家学院院士Josef博士领导开发，具有跌倒报警，健康管理和智能语聊三大模块组成，其中边缘化信息处理和自研语音模型是我们的独创技术。基于这些技术，我们的产品能解决老人居家的各种需求和隐患。,7,39.6,0.55,5.9,122,0
#0109,初新养老,行业服务,养老信息平台,102,初新养老是初新信息技术（上海）旗下的一站式养老信息咨询平台，链接C端老人与B端养老机构，提供免费养老顾问、机构匹配与会员权益。其合作养老机构5000+、注册用户20万，曾于2021年完成Pre-A轮融资。,108,40.7,0.55,6.2,106,0
#0218,时尚奶奶团,文娱社交,短视频,102,2019年成立于北京的银发女性时尚IP与社群平台，由平均年龄65岁以上女性组成，通过旗袍走秀、直播带货与形体培训商业化，全网粉丝超3000万。 （AgeClub供需对接补充：100 个中老年 IP 矩阵）,152,44.7,0.55,6.8,79,0
#0592,IBM,文娱社交,就业,102,IBM（国际商业机器公司）是全球领先的企业级信息技术与咨询服务巨头（1911年成立），业务涵盖混合云、人工智能（Watson）与行业解决方案，其AI与物联网技术亦被应用于智慧养老、远程医疗与适老科技场景。,24,38.7,0.55,5.9,71,0
#0843,Senior.com,消费品,电商,102,Senior.com 是一家面向老年人和照护者的电商平台，销售助行、居家安全、康复等适老产品，成立于 2004 年、总部加州尔湾，靠商品销售营利。亮点是较早专注银发垂直电商，形成稳定的适老用品选品与复购。,93,43.7,0.55,6.4,113,0
#0043,颐讯,行业服务,养老软件,103,惠州颐讯信息技术（2009年成立）是养老运营管理信息系统软件商，核心产品「颐康养老运营管理信息系统」覆盖评估、入住、护理、医疗、餐饮、财务等模块。其软件已助力全国28个省市超25万张养老床位实现信息化管理。,119,41.6,0.55,6.2,103,0
#0046,麦麦养老,行业服务/康复辅具,养老软件/跌倒监测,103,麦麦养老是智慧照护解决方案商，采用B2B2C模式，提供「云+端」智慧照护系统与跌倒报警、室内定位等智能硬件，覆盖机构/社区/居家养老。其业务已进入30城并出口欧洲、日本，曾获招商局创投A轮3000万元融资。,138,45.7,0.55,6.9,72,0
#0140,复星保德信,金融保险,保险,103,复星保德信人寿是复星与保德信合资的寿险公司（2012年成立），聚焦「一老一小」构建「星享寿」等养老生态，打通「社区+保险」场景。其2025年保险业务收入126亿元，推出数十款适老化养老/医疗/疾病保险产品。,111,44.6,0.55,6.7,75,0
#0147,天天好,食品营养,营养食品/保健品,103,武汉天天好生物制品（1996年成立）是中国多肽营养学开创者，集多肽原料生产、研发与全球销售于一体，产品含大豆肽、胶原肽、白蛋白多肽等功能性营养品与特医食品。其拥有中国多肽产业园，产品服务全球1.7亿消费者。,95,46.8,0.6,7.0,98,0
#0173,小柏家护,养老服务,居家护理,103,小柏家护是互联网+医养照护上门服务平台（宁波小柏家护信息技术），自建数千名持证照护师队伍，通过微信下单、平台智能派单为老人及病患提供医院陪护与居家护理，已覆盖长三角、成渝等约15城，累计服务超700万人次。,127,45.7,0.55,6.9,89,0
#0278,盛美诺,食品营养,膳食补充剂,103,北京盛美诺生物技术有限公司是国家级专精特新高新技术企业，专注生物活性肽（鱼胶原蛋白肽、非变性II型胶原蛋白、软骨肽等）研发生产，为食品、保健、美容、医药企业提供原料，安徽淮北基地年产能6500吨，出口多国。,12,32.6,0.55,4.9,87,0
#0282,神探伍伍,食品营养,糖尿病/营养食品,103,神探伍伍是上海碳求健康科技旗下的低GI健康食品全产业链品牌，覆盖低GI主食、烘焙、零食、冲调饮品，采用C端平价+B端贴牌代工双轮驱动，线下入驻永辉、盒马等万家门店，2024年获低GI烘焙线下销售额全国第一。,104,45.7,0.55,6.8,107,0
#0524,Lyft Health,养老服务,适老化,103,Lyft Health 是网约车平台 Lyft 的医疗出行（非紧急医疗转运，NEMT）业务线，与医疗机构、健康险公司及政府医保计划合作，为老年患者、Medicaid 参保人等提供就医接送与医疗物资配送服务。,8,38.7,0.55,5.9,72,0
#0844,SeniorCare.com,行业服务,养老信息平台,103,SeniorCare.com 是一个养老资源信息门户，汇总辅助生活、居家照护等服务商信息并提供筛选与指南，还设有奖学金与老龄化专家委员会，靠广告/服务商入驻营利。亮点是把分散的养老选择做成可检索的决策平台。,91,46.6,0.55,7.1,74,0
#0022,易得康,养老服务,护士上门/居家护理,104,易得康是国内医疗照护连锁机构，引入美国CNA照护标准，为出入院患者及居家长者提供护士/照护师上门服务、长护险定点护理与陪医就诊。其业务网络覆盖全国56城，护理站多为上海长护险定点机构，个人仅需承担10%费用。,124,41.6,0.55,6.3,75,0
#0136,嘉堡护理,养老服务,居家护理/护士上门,104,嘉堡护理（2013年试运营）是从医院陪护起家的专业护理服务机构，提供医院护工、居家护理（母婴/养老/全失能护理、长护险、护士上门）与月嫂产后修复。其自营员工制护理人员近3万，覆盖近20个省会城市与几十家医院。,81,43.7,0.55,6.5,82,0
#0394,可靠护理,消费品,尿失禁/纸尿裤,104,可靠护理（2001年成立，创业板'老年护理第一股'301009）是国内成人失禁用品综合排名第一企业，以自主品牌'可靠'+ODM双轮驱动，手握207项专利、电商类目十年第一，差异化在把失禁耗材做成高频刚需标品。,104,64.7,6.55,12.8,120,0
#0872,Strive Health,养老服务,慢病管理,104,Strive Health（2018年成立，2025年D轮5.5亿美元、估值18亿）是价值导向肾脏护理全国领导者，管CKD→ESKD全旅程、年管理近50亿美元支出、服务14.5万+患者，差异化在风险分层降本。,104,55.1,5.05,10.5,83,0
#0211,振邦,康复辅具,助行器/护理床,105,衡水振邦医疗器械有限公司成立于2015年，位于河北衡水，主营Ⅰ类医疗器械生产与销售，产品包括护理床、助行器、拐杖、手杖、座便椅、陪护椅等康养辅具，服务于医院、养老院等机构，多次参与民政设备与救灾物资采购招投标。,126,34.7,0.55,5.1,78,0
#0289,福康通,养老服务,适老化,105,南京福康通健康产业有限公司是智慧健康养老企业，中国居家适老化改造开创者之一，业务覆盖23省192城，提供适老化改造、居家上门照护、长护险服务、家庭养老床位、康复辅具租赁及智慧养老平台建设，拥有213项知识产权。,105,52.7,0.55,7.8,84,0
#1168,Cera,养老服务/金融保险,远程医疗/保险,105,英国最大数字化居家医疗提供商，伦敦创立(2016)，以 AI 平台调度护工、远程监测与远程医疗，累计融资约 4.21 亿美元（含 2025-01 与 2026-05 两轮各 1.5 亿美元 Series C）。,144,65.7,4.55,12.0,138,0
#0453,方文咨询,行业服务,养老咨询,106,方文咨询是一家关注养老产业创新与创业的咨询/研究服务机构，为养老企业提供产业研究、市场分析与战略/投融资顾问内容，常在养老行业媒体发表养老公司研究与市场观察文章，覆盖社区居家养老、机构养老及康养互联网平台等方向。,24,24.6,0.55,3.8,106,0
#0954,Enhabit,养老服务,安宁疗护,106,Enhabit（NYSE: EHAB）是美国全国性的居家健康与临终关怀服务商，在 34 个州运营约 255 个居家护理点和 112 个临终关怀点，靠医保与服务收费。亮点是居家医疗+安宁疗护双线布局的上市规模企业。,146,64.7,7.05,13.2,92,0
#0019,心智青,文娱社交,教育/文娱,107,心智青（2020年前后创立于济南）是中老年文娱教育连锁品牌，开设声乐、舞蹈、瑜伽、新媒体运营等49门适老化课程，全国直营与合作校区超500家。其以教育+活动为纽带，通过私域直播与商城延伸出旅游、电商等银发消费闭环。,117,42.7,0.55,6.5,118,0
#0027,特霍芬,养老服务,认知筛查/认知训练,107,特霍芬研发认知障碍数字筛查与训练系统TCSA，包含线上认知训练TCSA-Bot、社区筛查工具箱TCSA-Mob、站立式自主评估一体机TCSA-Com及团体康复训练系统TCSA-Med，服务于阿尔茨海默病早筛与干预。,133,42.7,0.55,6.6,94,0
#0074,乐陪护,养老服务,居家护理/陪诊,107,乐陪护是重庆天杰后勤管理有限公司旗下品牌，提供医院住院陪护、上门护理、长护险服务与院内陪诊，配套「乐陪诊」「乐管家」子品牌。其服务团队近1400人，合作医院29家，以「一家医院一个服务团队」模式覆盖重庆主城及周边。,114,42.7,0.55,6.5,90,0
#0080,享佳健康,消费品/食品营养,电商/保健品,107,享佳健康（2007年成立，南京）是国内老年大健康电商平台，以电话/直邮+会员电商模式销售保健品、健康产品，注册会员超2600万。近年其拓展银发AI陪伴机器人、康养游学与健康管理，并投资8亿元布局养老机器人制造基地。,126,45.7,0.55,6.8,76,0
#0097,佰丝堂,消费品,个人护理,107,佰丝堂（2007年创立于浙江金华）是国内聚焦中老年假发的标杆品牌，主营女士/男士/补发片等全系列，主打遮白发、增发量等功能性假发。其以电商为主要渠道，曾连续多年蝉联电商假发类目销量前列，并与全国300+实体店合作。,139,43.7,0.55,6.5,117,0
#0141,夕阳红,康复辅具,医疗器械,107,广州夕阳红医疗用品（2004年成立）是家用医疗器械代理与销售商，经营康复器材、理疗仪器、检测仪器、护理用品等3000+种产品，合作欧姆龙、鱼跃、强生等厂家。其在广东、福建拥有12家直营专卖店，面向中老年与残障人群。,78,36.6,0.55,5.5,96,0
#0633,because,消费品,尿失禁,107,2019年创立、累计融资约6500万美元的成人失禁DTC品牌，主打膀胱渗漏用品(最高吸收6杯、PFAS-Free、FSA/HSA可用)，DTC订阅加沃尔玛/CVS等线下双渠道；差异在消费级失禁用品的品牌化与订阅化。,107,44.6,2.55,7.8,70,0
#0809,Omena,消费品,更年期,107,Omena 是一家法国女性更年期健康 App（FemTech），提供症状追踪、个性化建议与远程健康指导，以订阅制面向用户收费，曾获约 98.8 万欧元种子轮融资。亮点是把更年期这一被忽视阶段做成数字化全程管理产品。,17,41.6,0.55,6.2,123,0
#0897,Vi Health,消费品,更年期,107,Vi Health 是一家荷兰更年期健康平台，面向职场女性提供症状管理与健康指导，作为企业员工健康福利（B2B2C）向雇主销售，总部鹿特丹、融资约 130 万欧元。亮点是把更年期支持嵌入企业福利，填补职场健康空白。,89,49.6,0.55,7.5,78,0
#0981,Amba,养老服务,远程护理,107,Amba 是一款面向养老社区的被动式传感监测 SaaS，通过床垫/环境传感器追踪睡眠、活动与生命体征并预警跌倒，配 HeyAmba AI 生成照护洞察，按机构订阅收费。亮点是用无穿戴、不打扰的方式实现持续健康监护。,89,49.6,0.55,7.5,108,0
#1848,成都汇鸿科技集团有限公司,养老服务,适老化,107,成都汇鸿科技集团有限公司：教育、医疗、养老为核心的共同空间家具研发、制造、销售与空间研究设计的一体化服务商，整合产品供应链及完善招投标资质。以自主研发与生产制造为核心，面向B端机构与终端银发消费群体提供产品与服务。,107,,,,152,0
#0018,彩视,文娱社交,短视频/兴趣社群,108,彩视是迅捷联动（北京）科技推出的音乐相册与短视频创作App，主要面向中老年用户，提供海量模板一键生成MV、兴趣群组与直播功能，累计约3000万同龄用户。它以极简操作和怀旧社区氛围，成为中老年表达与社交的「数字家园」。,114,38.7,0.55,5.8,85,0
#0144,天华设计,养老服务,适老化,108,上海天华建筑设计旗下「天华医养」团队自2010年起深耕养老设计，提供养老产业研究、养老规划建筑设计与运营咨询，代表作含泰康之家·燕园、太保家园、万科怡园等。其以适老化建筑研究引领养老地产设计，参与多项行业标准的制定。,87,43.7,0.55,6.7,92,0
#0146,天壹智慧,养老服务/金融保险,居家护理/养老机构/长护险,108,南京天一智慧养老（2019年成立）是以信息化为特征的新型养老服务公司，集居家、社区、机构三大业务板块，提供线上点单小程序、分层需求匹配与长护险服务。其多次中标医院免陪照护与长护险定点项目，覆盖江苏、安徽、广东等多地。,75,42.7,0.55,6.5,70,0
#0396,孝爱宝,行业服务,养老信息平台,108,"孝爱宝是湖北孝爱智慧养老有限公司推出的智慧养老服务平台，运用互联网、大数据与人工智能，以""六助""（助餐、助浴、助洁、助急、助医、助乐）为重点，为60岁以上老人提供居家、社区及机构养老的一键式服务、慢病管理与上门照护。",13,35.7,0.55,5.5,79,0
#0577,软银愿景基金,投资机构,VC,108,软银愿景基金（SoftBank Vision Fund）是软银集团于2017年设立的千亿美元级全球科技投资基金，由孙正义主导，广泛投资AI、芯片、出行与前沿科技，并布局了护理机器人、数字健康与养老科技等银发相关企业。,15,42.7,0.55,6.4,117,0
#1159,The Ensign Group,养老服务,安宁疗护,108,美国西部领先的专业护理院与康复服务商，纳斯达克代码 ENSG，并分拆出 CareTrust REIT 与 Pennant Group；2026-07 经 REIT 收购得州 2 家养老院（250 床），延续并购扩张。,134,63.7,6.55,12.6,92,0
#0068,中匠福,养老服务,适老化,109,广东中匠福（2004年创立）是适老化全产业链企业，研发生产适老家具、卫浴、辅具与智能化产品，并提供适老化改造与养老机构整体空间方案。其拥有5.3万㎡生产基地，合作养老机构3000+，参与制定多项适老家具国家与行业标准。,195,49.6,0.55,7.5,78,0
#0128,和乐春晖,消费品/养老服务,电商/适老化,109,上海和乐春晖（2021年成立）是数字驱动的适老化品牌孵化与新零售公司，聚焦50–65岁活力老年人群，以大健康产品为核心构建S2B2C数字化平台。其自研SaaS化SCRM+CDP系统，通过私域电商与适老化商品供应链变现。,92,45.7,0.55,6.9,96,0
#0181,康乐龄,食品营养,功能性食品,109,康乐龄（香港Asaptic Ltd旗下SeniorDeli）是专注吞咽障碍的功能性食品社会企业，研发保留食物原貌的“易食软餐”、增稠剂与软化粉，服务大湾区200余家医院及养老机构，曾获上海老年福祉产品创新创业大赛金奖。,128,51.6,0.55,7.8,93,0
#0271,百合康,食品营养,维生素矿物质/膳食补充剂,109,百合康是威海百合生物技术股份有限公司（A股603102）旗下的全家型营养保健食品品牌，可生产软胶囊、片剂等10余种剂型、4000余种膳食营养补充剂（鱼油、氨糖、维生素、叶黄素等），产品出口70余国，为“中国驰名商标”。,16,37.6,0.55,5.5,148,0
#0766,Livara Health,养老服务,康复医疗,109,Livara Health（2020年成立，融资1500万美元）以'分包干'承接合作方肌骨总费用，提供端到端多学科康复，2024年近400万可服务会员、17年累计服务12万+患者，差异化在用理赔数据识别高风险人群降本。,109,42.6,2.55,7.5,121,0
#0835,SafelyYou,康复辅具,跌倒监测,109,SafelyYou 是一家用 AI 视频识别预防老年人跌倒的公司，在养老/记忆照护社区部署摄像头实时检测跌倒并报警，宣称准确率约 99%，按机构订阅收费。亮点是用计算机视觉把跌倒事后处置前移到事前预防，降低骨折与住院。,119,53.7,2.55,9.2,125,0
#0847,SeniorSafetyAdvice,行业服务,养老咨询,109,SeniorSafetyAdvice 是由职业治疗师（OT）创办的老年居家安全科普网站，提供适老化改造、防跌倒与居家养老的指南与产品评测，靠内容与联盟营销获利。亮点是用专业视角产出可信的居家安全信息，并非社交陪伴平台。,102,46.6,0.55,7.1,83,0
#0887,Tuesday Health,养老服务,安宁疗护,109,Tuesday Health 是一家按价值付费的安宁/缓和疗护服务集团，为重病老人提供线下+远程的缓和医疗与临终关怀，已与 Humana、Buckeye 等支付方合作。亮点是把缓和疗护做成可规模化的按人头付费服务体系。,19,39.6,0.55,5.9,95,0
#0911,Waterlily,养老服务,护理协调,109,Waterlily（2021年成立，种子轮700万美元）用基于5亿+数据点的AI预测个体长护发生时点、强度与费用，B2B SaaS订阅+保单撮合、已签Prudential等8家险企，差异化在把长护风险量化成可规划方案。,109,47.7,1.55,7.8,83,0
#0061,万德厨,消费品/食品营养,智能硬件/养老膳食,110,深圳万德厨科技是AIoT烹饪科技公司，核心产品为万得厨AI智能烹饪机与无人厨房，并运营「万德厨爱心食堂」数智化老年助餐服务。其「生鲜+智能烹饪+政府在线化管理」模式已在广西、广东等地落地120+爱心食堂，服务2万+老人。,137,52.7,0.55,7.8,98,0
#0137,嘉年乐,养老服务,适老化,110,嘉年乐（2011年成立，上海）是老年用品与适老化综合服务商，运营嘉年乐老年商城，产品含适老家具、康复器材、助行移动（助行器/拐杖/代步车）、健康监测、入浴如厕辅助与护理床。其同时提供养老机构设施设备配置与居家适老化改造。,81,36.6,0.55,5.5,93,0
#0867,Starling Medical,养老服务/消费品,慢病管理/远程医疗/智能硬件,110,2020年成立、获680万美元融资(YC W22、AARP背书)的医疗科技公司，将家用尿检设备UrinDx嵌入马桶，每次如厕自动光谱扫描尿液并由护理团队夜间预警，试点已获Medicare等报销；差异在“无感采集+预警”。,110,34.6,1.55,5.9,90,0
#0006,共比邻,文娱社交,旅游,111,"共比邻（上海共比邻国际旅行社有限公司）成立于2021年，由饿了么联合创始人康嘉创立，是专为退休及活力银发人群提供旅游、聚会、演出与电商服务的O2O平台，主打""纯玩无购物""，累计用户超500万，2025年完成过亿元A轮融资。",134,48.7,0.55,7.2,79,0
#0199,恒发,消费品,纸尿裤,111,恒发（疑为山东恒发卫生用品有限公司）主营成人护理用品，产品涵盖成人纸尿裤、拉拉裤及母婴护理系列，远销欧美，2025年上半年出口额超1000万美元。注：“恒发”亦为多家物业/商业管理公司名称，此处按银发成人护理用品企业界定。,123,36.6,0.55,5.5,87,0
#0821,PeopleOne Health,养老服务,诊所,111,PeopleOne Health 是一家位于佛罗里达奥兰多的价值型基础医疗集团，以每月约 160 美元的会员费提供接近私人医生的便捷初级诊疗与慢病管理，并在社区设健康中心。亮点是用低价会员制+按价值付费模式提升就医可及性。,132,49.6,2.55,8.6,87,0
#0961,Arya Health,行业服务,养老软件,111,Arya Health 是一家为急性期后照护（居家护理/临终关怀）机构提供 AI 行政代理的公司，自动化排班、合规文档与招聘流程，按 SaaS 向机构收费。亮点是用 AI 替护理机构承担高重复的运营行政工作，缓解人手压力。,92,49.6,0.55,7.5,91,0
#1111,Aerska,消费品,药品,111,生物科技公司，利用“脑 shuttle”技术将 RNA 药物系统性递送至大脑，开发针对阿尔茨海默病等 CNS 疾病的治疗手段。2026年2月完成3900万美元A轮，由 EQT Dementia Fund 与 Age1 领投,209,45.6,0.55,7.0,114,0
#0123,友达颐康,行业服务/康复辅具,养老软件/紧急呼叫,112,友达颐康是台湾友达光电100%持有的智慧养老方案商，核心产品「爱可思康养综合平台」（iCaaS）提供智慧照护、健康促进、安全守护、智慧生活四大软硬整合方案。其方案含UWB定位、智能床垫、紧急呼救等，应用于全国多省市养老机构。,100,40.7,0.55,6.3,87,0
#0529,美林证券，美国银行旗下,金融保险,金融理财,112,美林证券（Merrill Lynch，现属美国银行 Bank of America）是全球领先的投资银行与财富管理机构，为个人与机构客户提供证券经纪、资产管理与退休理财规划服务，是养老金融领域重要的退休金与IRA管理方之一。,19,34.2,0.55,5.3,104,0
#0634,Beta Bionics,康复辅具,医疗器械,112,Beta Bionics（2015年成立，2025年纳斯达克上市BBNX募资约2.2亿美元）推出首款FDA批准的自动化胰岛素输送系统iLet，仅需输入体重即可自适应给药，差异化在把糖尿病管理做成傻瓜式闭环、压低老年操作失误。,112,61.6,3.55,10.8,81,0
#1317,PointClickCare,行业服务,养老软件,112,面向长期照护与急性期后护理机构的云端软件平台，打通临床、财务与运营数据。成立于1995年，加拿大；累计融资约2.97亿加元；2026-05 扩展 AI 产品 Chart Advisor 至 senior living 场景。,149,65.6,5.55,12.4,94,0
#0041,颐养通,行业服务/养老服务,养老软件/适老化,113,颐养通是杭州爱讯科技（2014年成立）旗下品牌，定位养老数字化与智能化解决方案提供商，自研30+养老软件产品覆盖CCRC/机构/社区/居家/民政监管等业态。其自研养老物联网平台对接智能硬件超1000种，服务养老机构3000+。,118,43.7,0.55,6.5,113,0
#0578,Tiger Global,投资机构,VC,113,Tiger Global Management 是一家总部位于纽约的全球投资管理机构（2001年成立），业务涵盖公开市场股票与私募股权/风险投资，长期投资互联网、软件、金融科技及医疗健康领域，亦参与多家健康科技企业的成长融资。,11,42.7,0.55,6.4,104,0
#0828,Redi Health,行业服务,养老软件,113,Redi Health 是一个数字化的患者支持平台，连接药企与患者，提供用药依从、福利查询与疾病管理工具，通过 B2B2C（向制药与支付方收费）模式运营，已完成 B 轮融资。亮点是把药企患者援助项目做成可量化的依从性提升产品。,192,45.6,2.55,7.9,111,0
#1393,成都氢饮科技有限公司,食品营养,功能性食品,113,"1；格林南礼品工厂
2；氢饮科技富氢水厂家供应链 “人没有氧活不了 没有氢活不好”公司以产学研一体， 华西研制 ，产品药食同源。
3；我们是富氢水中国标准制定副主编单位
4；产品亮点：抗炎症 极强的抗氧化 去除人体有害自由基等",5,41.6,0.55,6.2,124,0
#0910,VyncaCare,养老服务,安宁疗护,114,2013年创立、获3000万美元融资的安宁疗护机构，由预先照护计划软件起家、2021收购Resolution Care，已交付超100万份计划覆盖全美50州，将居家舒缓疗护与增强照护管理打包按价值付费；差异在预先计划加全人舒缓。,114,47.6,2.55,8.2,140,0
#0984,Artifcts,文娱社交,文娱,114,Artifcts 是一款帮助用户为物件拍摄并留存背后故事与传承信息的 App，常用于长辈整理遗物、缩小住房和家族记忆保存，以个人订阅收费。亮点是把'断舍离'与代际传承变成可分享的数字档案（并非专属老年产品，但深受银发用户使用）。,86,49.6,0.55,7.5,73,0
#0108,凌晴翔,康复辅具/养老服务,助行器/适老化,115,广东凌晴翔健康科技（2011年成立，佛山）是医疗康复器材研发制造企业，旗下「好步」品牌主营助行器、拐杖（带灯收音机拐杖等）、卫浴扶手、坐便椅、起身助力器等老年康复辅具。其拥有Ⅱ类医用康复器械生产许可与6万㎡生产基地，产品出口海外。,135,41.6,0.55,6.2,71,0
#0118,南京携才,养老服务,居家护理/家政,115,南京携才居家养老服务中心（2016年成立）是民办非企业居家养老服务机构，提供助餐/助洁/助浴/助急/助乐「五助」、配餐（8家中心厨房）、家政、康复理疗与老年代购。其全市设112个服务点、签约床位500家，覆盖5区20街道80社区。,102,38.7,0.55,5.8,95,0
#0611,Age Bold,文娱社交,健身,115,Age Bold（2020年成立，累计融资约2700万美元）提供专为老人设计的在线防跌倒锻炼课程，已接入UnitedHealthcare等Medicare Advantage覆盖千万级会员，差异化在'课程+保险'把健身绑进支付方。,115,48.7,2.55,8.4,80,0
#1116,新双派,康复辅具,轮椅/助行器,115,专注智能助行轮椅的银发硬件公司，主打碳纤维一体压铸智能助行轮椅，支持免弯腰自动折叠，兼顾轻量化与智能化，曾获美国 MUSE 设计金奖，走高端差异化路线。本轮融资将重点用于 AI 与大模型融合升级为“智能出行助手”（具体金额未公开）,10,38.1,0.55,6.0,123,0
#0327,若创科技,康复辅具,轮椅,116,深圳若创科技（RoboSpectra/STRUTT）由前大疆激光雷达业务负责人洪小平2023年创立，做具身智能个人出行载具，2025年底在旧金山发布搭载车规级激光雷达的智能电动轮椅STRUTT ev¹，获数千万美元Pre-A轮融资。,114,45.6,0.55,7.0,85,0
#0765,Linus Health,养老服务,认知筛查,116,Linus Health 是一家 AI 数字认知评估公司，通过平板上的认知任务及早发现阿尔茨海默病等认知障碍，产品已获 FDA 注册，向医疗机构与健康计划以 SaaS 方式销售。亮点是把认知筛查嵌入常规体检流程，支持大规模早期干预。,18,41.6,0.55,6.2,101,0
#0913,Welbi,行业服务,养老软件,116,Welbi 是一款面向养老社区的入住长者参与（resident engagement）AI 平台，自动编排活动、匹配同伴并对接 EHR 电子健康档案，按机构订阅收费。亮点是用 AI 把日常活动与社交参与数据化，提升长者满意度与留存。,17,32.6,0.55,5.0,91,0
#0077,云芯信息,康复辅具,可穿戴监测/紧急呼叫,117,广州云芯信息（2010年成立）是康养科技与智能硬件企业，提供物联网SaaS平台及智能手表、定位胸牌、拐杖、NB-IoT紧急按钮、睡眠监测床垫等终端。其平台已关联智能硬件300+款、连接2500万+设备，主打穿戴定位与居家安防两类场景。,133,47.7,0.55,7.2,85,0
#0793,myo,行业服务,养老软件,117,myo（德国 Myosotis 公司）是一款连接养老院住客、家属与护理人员的 SaaS 沟通应用，用平板/电视推送活动、消息与日程，已在德语区 250 多家养老机构部署。商业模式为面向机构的年度订阅，亮点是把家属沟通与日常照护可视化。,98,49.6,0.55,7.5,151,0
#0234,柏老汇,养老服务,家政/居家护理,118,昆山市柏老汇养老服务有限公司成立于2016年，位于江苏昆山，是一家本地养老服务企业，经营范围包括养老服务、清洁服务、家政服务、健康信息咨询及餐饮服务，下设合兴社区、西河、绣衣等多个社区分公司，为周边长者提供社区养老与家政清洁等日常服务。,109,28.7,0.55,4.3,88,0
#0854,SiftWell Analytics,行业服务,AI医疗,118,SiftWell Analytics 是一家为医疗支付方（payer）提供全会员 AI 洞察的公司，做风险分层、照护缺口识别与干预推荐，团队多有医疗责任组织背景，融资约 930 万美元。亮点是把分散的会员数据转化为可执行的精准照护信号。,88,49.6,0.55,7.5,109,0
#1487,上海国展展览中心有限公司,行业服务,养老信息平台,118,"上海老博会CHINA AID
主办方：上海市民政局、上海市国际贸易促进委员会
展会时间：2025年6月11-13日
展会地点：上海新国际博览中心
展会规模：5万平米
展品覆盖老龄、备老全品类（刚需老人专业产品和服务+活力老人衣食住行娱）",7,41.6,0.55,6.2,189,0
#0116,华润维麟,养老服务,养老机构,119,华润维麟是华润集团与比利时Verlinvest基金合资的养老产业投资与运营平台（2016年合作），在粤港澳、京津冀、长三角、成渝布局5家区域养老平台，进入11城运营养老机构35+家。其通过投资控股（如重庆合展、成都哺恩）整合区域养老资源。,117,39.6,0.55,6.0,82,0
#0826,Pyx Health,文娱社交,陪伴服务,119,Pyx Health 是一家解决老年人孤独与社会隔离的公司，为 Medicare/Medicaid 会员提供 App、人工呼叫中心关怀以及生鲜配送，按人头向健康计划（payer）收费。亮点是用'真人+科技'组合显著降低孤独相关的医疗支出。,14,36.6,0.55,5.5,84,0
#0017,小橙,养老服务,居家护理/适老化/专业护理,120,天津小橙集团（2015年前后创立）是综合为老服务企业，旗下小橙长护提供居家护理与长护险定点服务、康力元提供智能养老产品，业务覆盖全国300+城市。其与60余家头部险企合作，将护理服务责任化、辅具租赁普惠化，并推出48小时居家适老化改造体系。,138,54.6,1.55,8.6,107,0
#0121,博音,康复辅具,助听器,120,博音听力技术（上海）（2019年成立）是AI智能助听器研发制造企业，自研云听SiP芯片与医疗级助听器（唐潮/秦风/汉韵/通透精灵等），旗下拥有博音助听器、贝聆美等品牌。其以「听力地球」连锁联盟布局全国400+门店，提供24小时上门验配服务。,91,43.7,0.55,6.7,94,0
#0219,易乐车业,康复辅具,轮椅,120,永康市易乐车业有限公司位于浙江金华，专业生产老年代步车、电动代步车、电动轮椅及残疾人代步车，拥有十余名研发工程师，产品通过欧盟CE认证，年产能电动轮椅约8万台，以内销与欧美东南亚出口为主，主打轻便折叠、单手操控、松手自动刹车等适老安全设计。,127,34.7,0.55,5.1,99,0
#0291,立奇电子,康复辅具/消费品,助行器/轮椅/智能硬件,120,立奇（南京）电子科技有限公司（奇龄LINKY）专注居家养老智能硬件研发，产品含智能洗头机、AI智能拐杖、活动轮椅、AI陪伴音箱、健康活动仪等，多款入选上海市民政局康养器具目录，并与灵机AI合作推出可跌倒检测的智能拐杖，出口“一带一路”市场。,81,47.7,0.55,7.2,88,0
#0780,Mend,行业服务,养老软件,120,Mend（mend.com）是一家面向医疗机构的行为健康 AI 平台，用自动化沟通、日程提醒与远程问诊降低患者爽约率、提升就诊转化，按 SaaS 向诊所和医院收费。注：同时存在澳洲的 Mend 癌症/慢病康复 App，公开信息存在重名歧义。,111,49.6,0.55,7.5,92,0
#0231,最美芳华,消费品,个人护理,121,北京最美芳华生物科技有限公司是一家集研发、生产、销售于一体的企业，旗下“芳华”品牌专注老年专用洗护产品，代表产品有芳华老年润肤乳等，针对老年人肌肤特点改善日常护理方式，倡导“像关爱孩子一样关爱老人”，曾参加中国国际养老服务业博览会等银发展会。,120,37.7,0.55,5.7,89,0
