name,name_cn,tag_l1,tag_l2,business_tags_customer,business_tags_role,business_tags_channel,国家地区,简介,原分类category_l1,原分类category_l2
Salvo Health,,医疗健康;金融保险,产业资本;慢病管理;远程医疗,未标注,服务商,,海外,纽约慢病管理公司，聚焦胃肠道慢性病的长期治疗，结合“食物即药物”与行为健康，患者症状改善率76%、肠胃相关急诊使用下降79%。2026年2月完成850万美元A轮,健康管理,慢病数字管理
Xella Health,,医疗健康;智能科技,女性健康服务;长寿科技,未标注,服务商,,海外,女性精准健康平台，聚焦生育、衰老与身体变化的纵向数据，提供先进诊断+个性化临床指导，覆盖激素健康、早癌筛查与预防护理。2026年初完成超370万美元 pre-s,长寿科技/生物医药,女性精准健康
Gardia,,医疗健康,健康监测,未标注,技术服务商,,海外,德国健康科技公司（microsynetics GmbH），提供无需智能手机的 AI 跌倒检测腕带与移动应急系统，自动检测老年人跌倒并触发救援。2026年2月完成,智能硬件/辅具,跌倒检测/紧急呼叫
Ceresti,,养老服务;医疗健康;智能科技,居家护理;照护系统;认知症,未标注,服务商,,海外,为认知症（痴呆）患者家庭照护者提供支持的平台，结合 GUIDE 模式提供培训、协调与远程指导。2025年8月完成1170万美元融资（计划1500万）。,认知健康,认知症照护支持
Sukoon Unlimited,,文娱社交;精神健康,心理健康服务;文娱,未标注,服务商,,海外,印度 AgeTech 初创，以社区驱动模式对抗老年人孤独，提供陪伴与活动服务。2025年1月完成43万美元融资。,养老照护平台,老年社交/孤独干预
Hera,,养老服务;智能科技;金融保险,产业资本;护理平台;照护系统,未标注,技术服务商,,海外,AI 驱动的护理协调平台，帮助养老运营商整合居民安全、护理计划、人员排班与应急响应。2026年6月完成2700万美元A轮，显示资本对“技术赋能型养老照护”的信心,养老照护平台,护理协调平台
Aerska,,医疗健康;精神健康,心理健康服务;认知症,未标注,服务商,,海外,生物科技公司，利用“脑 shuttle”技术将 RNA 药物系统性递送至大脑，开发针对阿尔茨海默病等 CNS 疾病的治疗手段。2026年2月完成3900万美元A,长寿科技/生物医药,神经退行性疾病药物
Herself Health,,医疗健康;金融保险,产业资本;女性健康服务,未标注,服务商,,海外,面向 65 岁以上、参加 Medicare 的女性提供进阶初级医疗服务的医疗科技公司，关注老年女性的特异性健康需求。融资金额未公开核实。,健康管理,老年女性初级医疗
Altek Corporation,华晶科技,养老服务,智慧养老,未标注,技术服务商,,海外,台湾上市影像科技公司（TSEC:3059），在 CES 2026 推出专为机构养老安全设计的 AI Vision Care System，协助机构监测与预防长者,智能硬件/辅具,AI视觉照护
银河通用机器人,银河通用,智能科技,AI科技;机器人,未标注,服务商,,国内,中国具身智能头部企业（Galbot），聚焦通用具身智能大模型与机器人，向康养、工业、家庭等多场景延伸。2026年3月完成25亿元新一轮融资，估值突破200亿元，,养老机器人,具身智能通用平台
自变量机器人,自变量,智能科技,AI科技;机器人,未标注,技术服务商,,国内,深圳具身智能企业，聚焦“通用具身智能大模型”研发，采用保洁—家庭—养老三级渗透策略切入养老场景。2026年两个多月内连续完成 B/B+/B++/C 四轮融资，累,养老机器人,通用具身智能大模型
新双派,新双派,养老服务;消费品,智能硬件;适老化,未标注,技术服务商,,国内,专注智能助行轮椅的银发硬件公司，主打碳纤维一体压铸智能助行轮椅，支持免弯腰自动折叠，兼顾轻量化与智能化，曾获美国 MUSE 设计金奖，走高端差异化路线。本轮融资,智能硬件/辅具,智能轮椅/助行
智医向量机器人,智医向量,智能科技,AI科技,未标注,技术服务商,,国内,专注为医疗机构提供人工智能解决方案的企业，产品包括 AI 辅助诊断、对话机器人及数字孪生医生等，旨在通过 AI 提升医疗健康领域的效率与可及性。,养老机器人,医疗AI解决方案
浙江人形机器人创新中心,浙江人形机器人创新中心,智能科技,机器人,未标注,服务商,,国内,主攻拟人化交互的人形机器人创新中心，适配老年人使用习惯，探索人形机器人在康养领域的实际应用，是浙江省布局康养机器人方向的重要载体。,养老机器人,人形机器人康养应用
AvevoRx,,养老服务,居家护理,未标注,服务商,,海外,居家专科输液药房服务，为患者在家提供输液药物与治疗履约。,其他,居家/上门护理（家庭医疗履约）
Complete Care Management Services,,养老服务,居家护理,未标注,服务商,,海外,基于价值的居家协调照护管理、过渡期照护、再住院率降低项目。,其他,居家/上门护理
Anytime Home Care,,养老服务,居家护理,未标注,服务商,,海外,提供陪伴、个人护理、生活协助、备餐、家务等非医疗居家照护。,其他,居家/上门护理
Pansy Homecare,,养老服务;医疗健康,居家护理;认知症,未标注,服务商,,海外,以私人付费为主的居家照护机构，专注家庭场景下的失智症（dementia）照护。,其他,居家/上门护理
BrightStar Care,,养老服务,居家护理,未标注,服务商,,海外,"提供个人居家照护、补充性护理人员派遣及家庭医疗服务，网络逾15,000名照护者。",其他,居家/上门护理
HomeWell Franchising,,养老服务,居家护理,未标注,服务商,,海外,为老年人及居家不便者提供个人护理、陪伴与家务服务的居家护理特许经营体系。,其他,居家/上门护理
Sodalis Senior Living,,养老服务;医疗健康,养老社区;认知症,未标注,服务商,,海外,个性化辅助生活与记忆照护运营商，旗下23个社区覆盖德州、佛州、乔治亚，含早期痴呆Bridges项目。,养老服务,养老社区
Nano Hearing Aids,,养老服务,适老化,未标注,服务商,,海外,面向轻中度听力损失的OTC（非处方）助听器品牌，DTC直达消费者销售。,辅具器械,辅具器械
IntellaTriage,,医疗健康,临终关怀;健康监测,未标注,服务商,,海外,为居家医疗与安宁疗护机构提供护士主导的全天候分诊与看护解决方案。,数字健康,监护科技
White Orchid Hospice,,医疗健康,临终关怀,未标注,服务商,,海外,覆盖休斯顿、科珀斯克里斯蒂、圣安东尼奥的安宁疗护与缓和医疗提供商。,其他,安宁疗护/临终
HealthFlex Hospice,,医疗健康,临终关怀,未标注,服务商,,海外,提供居家医疗与安宁疗护等上门健康服务。,其他,安宁疗护/临终
Seraphina Therapeutics (fatty15),,消费品;食品营养,日用;营养食品,未标注,服务商,,海外,DTC长寿营养补充剂fatty15（C15:0必需脂肪酸）开发商，主打健康老龄化。,老年消费,老年健康消费
Teton.ai,,医疗健康;智能科技;消费品,AI科技;健康监测;智能硬件,B2B,技术服务商,,海外,丹麦AI医疗公司，通过计算机视觉与传感器预测老年护理场景中的跌倒与健康衰退风险，帮助养老机构从被动响应转向主动预防。,健康服务,摔倒监测
Lizzy Care,,养老服务;医疗健康,养老机构;认知症,B2B+B2C,平台,,海外,美国家庭痴呆症居家照护协调平台，连接专业照护团队、家属与资源，提供远程照护协调与个性化健康教育。,失智老人赛道,照护机构
Zingage,,养老服务;智能科技,AI科技;专业护理,B2B,技术服务商,,海外,纽约AI居家护理交付平台，自动化排班、调度与报销流程，帮助居家护理机构提升运营效率与覆盖率。,养老服务,专业级护理
Gladys,,养老服务;智能科技,AI科技;专业护理,B2B,技术服务商,,海外,英国AI居家护理技术平台，旨在通过技术改善英国破碎的居家照护体系，优化护理人员调度与服务质量。,养老服务,专业级护理
Janus Living,,养老服务;金融保险,产业资本;养老社区,未标注,服务商,,海外,美国养老地产纯Play REIT，由Healthpeak注入34个养老社区组合，2026年申报美股IPO，目标估值约50亿美元。,养老地产,运营商
Healthpeak Properties,,养老服务,养老社区,未标注,服务商,,海外,美国医疗地产REIT，将34个社区、约1万套养老住房组合注入新设的Janus Living并以RIDEA结构分拆为纯Play上市养老地产REIT。,养老地产,运营商
The Care Team,,医疗健康,临终关怀,B2B,服务商,,海外,美国临终关怀与缓和医疗提供商，2025年在Revelstoke Capital支持下连续收购Traditions Health等资产，扩张至伊利诺伊、印第安纳、,养老服务,临终关怀
VitalCaring,,医疗健康,临终关怀,B2B,服务商,,海外,美国家庭健康、临终关怀与缓和医疗运营商，2025年12月收购Traditions Health的家居健康与临终关怀业务，行业并购整合加速的代表。,养老服务,临终关怀
ECP,,智能科技,照护系统,B2B,服务商,,海外,密尔沃基辅助生活专用软件龙头，2025年12月完成数亿美元成长融资，加速AI与按效付费(value-based care)能力建设。,适老化改造,智慧养老软件
Biopeak,,智能科技,长寿科技,B2B+B2C,服务商,,海外,长寿诊所运营商，2026年1月获270万美元融资，用于开设新诊所、强化诊断能力与 proprietary AI，主打整合式长寿医学服务。,医疗健康,长寿诊所
Blue Longevity Clinic,,智能科技,长寿科技,B2B+B2C,服务商,线下,海外,欧洲长寿医学诊所，2025年获200万欧元融资，计划于希腊、土耳其、保加利亚新开诊所，结合线下诊疗与数字健康。,医疗健康,长寿诊所
LegUp,,养老服务,护理平台,B2B+B2C,平台,,海外,印度照护科技平台，连接现代家庭与可信照护人员，2025年2月获Bluebridge Capital 2000万卢比(约25万美元) pre-seed融资。,养老照护,居家照护平台
BrainCheck,,医疗健康;智能科技,AI科技;认知症,B2B,服务商,,海外,数字认知评估与照护平台，2026年2月追加1300万美元Series A，用AI辅助早期痴呆/认知障碍筛查，帮助医疗系统规模化早筛。,失智老人赛道,病情早筛
Sonida Senior Living,,养老服务,养老社区,未标注,平台,,海外,美国大型纯Play养老社区业主-运营商，运营独立生活、辅助生活与记忆照护社区，纽交所上市(代码SNDA)，2025全年业绩稳健。,养老地产,运营商
Cadence,,医疗健康;智能科技,AI科技;慢病管理,B2B,技术服务商,,海外,临床AI公司，用AI护理模型管理老年慢病，2026年6月获1亿美元Series C，被全美领先医疗系统采用，对标按效付费(value-based)慢病管理。,健康服务,慢病管理
Enzo Health,,养老服务;医疗健康;智能科技,AI科技;专业护理;临终关怀,B2B,技术服务商,,海外,开发AI工作流工具，自动完成患者接入与病历审核等任务，面向家居健康与临终关怀机构，2025年获2000万美元Series A(N47领投)。,养老服务,专业级护理
Avaí Bio,,智能科技,长寿科技,未标注,制造商(药),,海外,长寿生物科技公司(原Avant Technologies，2026年2月更名为Avaí Bio，OTCQB:AVAI)，推进两项针对糖尿病与年龄相关疾病的细胞治,医疗健康,长寿科技
Validose,,医疗健康,慢病管理,B2B,技术服务商,,海外,精准给药(precision medication delivery)公司，2025年2月获200万美元pre-seed，解决临床试验与慢病用药依从性难题。,健康服务,慢病管理
PillSafe,,消费品,智能硬件,B2B+B2C,服务商,,海外,无线用药依从性系统公司，2026年3月获种子轮融资，瞄准庞大的非依从性用药市场，提供智能药盒+远程监护。,养老用品,智能用品
SilverAssist,,养老服务,护理平台,B2B,服务商,,海外,养老生活推荐聚合平台，2026年1月收购Caring.com，整合行业领先的推荐网络，加速全国触达与运营商连接，颠覆按线索付费的聚合模式。,养老照护,居家照护匹配
国民养老保险,国民养老保险,金融保险,保险科技,B2B+B2C,服务商,,国内,国内专业养老保险公司，由17家产业与金融股东共同出资设立，聚焦养老保险、养老理财与第三支柱养老金融，是养老金融高质量发展方案下的代表性持牌机构。,养老金融,保险科技
Welltower,Welltower｜医疗地产信托,金融保险,产业资本,未标注,制造商(消费品),,海外,全球最大医疗地产信托(REIT)，纽交所代码 WELL，专注养老社区、医疗办公楼与长期急症护理地产的持有与运营，是美国'银发地产'赛道的定价锚。,养老地产,医疗地产信托(REIT)
Ventas,Ventas｜医疗REIT,金融保险,产业资本,未标注,平台,,海外,美国老牌医疗地产信托(REIT)，纽交所代码 VTR，资产覆盖养老社区、医疗办公楼与生物实验室，是养老地产证券化另一龙头。,养老地产,医疗地产信托(REIT)
Omega Healthcare Investors,Omega 医疗投资者,金融保险,产业资本,未标注,服务商,,海外,专注 skilled nursing(专业护理院)与长期急症医院的医疗 REIT，纽交所代码 OHI，是美国护理院地产最大持有人之一。,养老地产,护理院REIT
CareTrust REIT,CareTrust REIT,金融保险,产业资本,未标注,平台,,海外,专注养老社区与医疗地产的 REIT，纳斯达克代码 CTRE，2014 年从 Ensign Group 分拆，以高出租率与稳健派息著称。,养老地产,养老地产REIT
Option Care Health,Option Care 健康,养老服务,居家护理,B2B+B2C,服务商,,海外,美国最大独立居家输液与专科药房服务商，纳斯达克代码 OPCH，为慢病与复杂用药患者提供上门输液治疗。,健康服务,居家输液/药房
The Ensign Group,Ensign 集团,养老服务;金融保险,产业资本;养老机构,未标注,服务商,,海外,美国西部领先的专业护理院与康复服务商，纳斯达克代码 ENSG，并分拆出 CareTrust REIT 与 Pennant Group。,养老服务,护理院运营商
National Health Investors,国家医疗投资者,金融保险,产业资本,未标注,服务商,,海外,专注养老社区与医疗地产的 REIT，纽交所代码 NHI，以稳健租约与运营商合作伙伴关系著称。,养老地产,医疗REIT
Sabra Health Care REIT,Sabra 医疗REIT,养老服务;金融保险,产业资本;养老机构,未标注,平台,,海外,专注 skilled nursing 与养老社区的医疗 REIT，纳斯达克代码 SBRA，2010 年从 Sun Healthcare 分拆。,养老地产,护理院REIT
LTC Properties,LTC 地产,金融保险,产业资本,未标注,服务商,,海外,专注养老社区与护理院的 REIT，纽交所代码 LTC，成立于 1992 年，以组合多元化著称。,养老地产,养老地产REIT
Healthcare Realty Trust,医疗地产信托,金融保险,产业资本,未标注,服务商,,海外,专注医疗办公楼( Medical Office Building)的 REIT，纽交所代码 HR，2022 年与 Healthcare Trust of Ame,养老地产,医疗办公楼REIT
AdaptHealth,AdaptHealth,医疗健康,健康监测;医疗器械,B2B+B2C,制造商(硬件/设备),,海外,美国领先家用医疗设备(HME)与服务商，纳斯达克代码 AHCO，提供呼吸机、氧气、营养与行动辅助等上门服务。,健康服务,家用医疗设备(HME)
Medical Properties Trust,医疗地产信托(MPT),金融保险,产业资本,未标注,服务商,,海外,专注医院地产的 REIT，纽交所代码 MPW，曾为全球最大医院房东之一；近年因租户 Steward 破产陷入动荡，是 REIT 风险案例。,养老地产,医院REIT
Diversified Healthcare Trust,多元医疗信托,金融保险,产业资本,未标注,平台,,海外,拥有医疗办公楼与养老社区的 REIT，纳斯达克代码 DHC，资产覆盖美国多州。,养老地产,医疗/办公REIT
Cera,Cera｜英国居家医疗AI,医疗健康;金融保险,产业资本;远程医疗,B2B+B2C,技术服务商,,海外,英国最大数字化居家医疗提供商，伦敦创立(2016)，以 AI 平台调度护工、远程监测与远程医疗，累计融资约 4.21 亿美元（含 2025-01 与 2026-,养老照护平台,居家医疗AI平台
Clariane,Clariane（原 Korian）,养老服务,养老社区,未标注,服务商,,海外,欧洲领先的依赖人群照护设施私营运营商（原 Korian，2023 年更名 Clariane），泛欧证交所上市，2024 年营收约 52.82 亿欧元，养老院业务,养老服务,养老社区运营商
Emeis (Orpea),Emeis（原 Orpea）,养老服务,养老社区,未标注,制造商(消费品),,海外,欧洲养老院巨头，原 Orpea，2023 年财务丑闻后更名 Emeis 并推进'重生'重组；2023 年营收同比增长 11%，泛欧证交所上市。,养老服务,养老社区运营商
BioAge Labs,BioAge Labs｜长寿科技,智能科技;金融保险,产业资本;长寿科技,B2B,投资机构,,海外,长寿与代谢衰老疗法公司，纳斯达克代码 BIOA，2024-09 IPO 募资 1.98 亿美元；核心管线 azelaprag 与 GLP-1 联用减重。,长寿科技/生物医药,抗衰老药物
Calico,Calico｜Alphabet 长寿实验室,智能科技,长寿科技,未标注,制造商(药),,海外,Alphabet(谷歌)旗下长寿研究实验室，2013 年由 Art Levinson 领衔创立，研究衰老生物学与延长健康寿命，资源雄厚但未上市。,长寿科技/生物医药,衰老研究
Unity Biotechnology,Unity 生物科技,智能科技,长寿科技,B2B,投资机构,,海外,衰老细胞清除(senolytics)疗法公司，纳斯达克代码 UBX，聚焦眼科与肌肉骨骼衰老疾病。,长寿科技/生物医药,抗衰老药物
Benesse,Benesse｜倍乐生,文娱社交;金融保险,产业资本;教育,B2B+B2C,服务商,,海外,日本教育与原日生(老年照护)集团，东京证交所上市，业务横跨儿童教育与高龄者照护(护理规划中心、养老住宅)。,养老服务,教育+养老
Nichii Gakkan,日医学馆,养老服务;金融保险,产业资本;居家护理,B2C,服务商,,海外,日本大型居家护理与医疗服务集团，东京证交所上市，提供访视护理、照护管理与健康服务。,养老照护,居家照护
Stannah,Stannah｜楼梯升降,养老服务,适老化改造,B2C,制造商(硬件/设备),,海外,英国老牌适老化硬件家族企业(创立 1862)，主营楼梯升降椅( stairlift)与家用无障碍升降设备，助力原居安老。,适老科技,适老硬件
Doro,Doro｜老人手机,养老服务,适老化改造,B2C,制造商(硬件/设备),,海外,瑞典斯德哥尔摩证交所上市公司，专注老年人简易手机、紧急呼叫与远程看护(telecare)设备。,适老科技,适老硬件
Essity,Essity｜添宁母公司,养老服务,专业护理,B2B+B2C,服务商,,海外,瑞典卫生与健康上市公司(斯德哥尔摩证交所)，旗下 TENA(添宁)为全球失禁护理领导品牌，2017 年从 SCA 分拆。,养老用品,失禁护理
Callie Care,Callie Care｜语音AI照护,养老服务,智慧养老,B2B+B2C,技术服务商,,海外,特拉华州 AgeTech 初创(2026)，打造'电话优先'的主动式语音 AI，每天呼叫老人以对抗孤独、处理日常需求并连接家属。,养老照护平台,语音AI
Front Porch,Front Porch｜CCRC,养老服务,养老社区,未标注,服务商,,海外,美国加州非营利养老运营商(1999)，运营持续照料退休社区(CCRC)与活跃长者社区，并设创新实验室研究老龄化。,养老服务,持续照料社区(CCRC)
Visiting Angels,Visiting Angels｜上门照护加盟,养老服务,居家护理,B2C,服务商,,海外,美国大型非医疗居家照护加盟网络(1992)，遍布数百个 franchise 网点，提供陪伴、个人护理与家务协助。,养老照护,居家照护加盟
Catalia Health,Catalia 健康,医疗健康;智能科技,AI科技;慢病管理,B2B+B2C,技术服务商,,海外,AI 患者参与与慢病管理公司(2014)，旗舰产品 Mabu 机器人+Care Insights 平台，陪伴慢病老人并推动用药依从。,养老照护平台,AI慢病管理
Uniper,Uniper｜抗孤独虚拟互动,文娱社交;精神健康,心理健康服务;文娱,B2B+B2C,平台,,海外,面向长者的虚拟互动平台(2015)，提供视频问诊、直播活动与录播课程以对抗孤独、促进身心参与。,老年文娱,社交隔离干预
Rylo,,消费品,助听器,B2B+B2C,技术服务商,,海外,面向耳聋与重听人群（美国约4800万）的AI通信平台，提供实时字幕、转录与呼叫辅助。2026年6月完成8500万美元融资用于产品与用户扩张。,智能硬件,听觉辅具
Neurable,,养老服务,智慧养老,B2C,服务商,,海外,消费级脑机接口（BCI）公司，将日常脑电监测与AI结合，做认知健康消费产品（如头戴设备）。2025年12月完成3500万美元A轮。,认知健康,脑机接口
IO Health,,医疗健康,临终关怀,B2B,技术服务商,,海外,面向临终关怀（hospice）与家庭健康的AI初创公司，用AI简化临床文档与运营。2025年10月完成200万美元种子轮（Nina Capital领投）。,健康服务,安宁疗护AI
Optain Health,,消费品,眼镜,B2B,技术服务商,,海外,将AI、机器人视网膜成像与远程眼科结合，通过视网膜影像（oculomics）筛查眼疾与全身健康风险。2025年9月完成2600万美元A轮（Insight Par,健康服务,视觉健康
Lumata Health,,医疗健康;消费品,慢病管理;眼镜,B2B,服务商,,海外,通过AI与患者参与平台提升视力保护（vision-saving）治疗的依从性与可及性，已对接全美大型眼科网络。2025年3月完成2300万美元B轮。,健康服务,视觉健康
Age Care Labs,,养老服务,居家护理;护理平台,B2B+B2C,服务商,,海外,印度居家养老平台，运营Emoha与Epoch Elder Care两大品牌，提供居家与机构照护服务。2026年7月完成900万美元B1轮增长融资（Shrem G,养老服务,居家照护平台
Uresta,,养老服务;医疗健康,专业护理;女性健康服务,B2B+B2C,服务商,,海外,加拿大女性健康公司，提供无需手术/吸收用品的压力性尿失禁（SUI）物理装置。2025年3月完成300万美元融资（BDC Capital领投150万）用于美国拓展,健康服务,失禁护理
CareFlick,,智能科技,照护系统,B2B,服务商,,海外,面向老年照护的领先照护管理平台，提供个性化治疗、活动与协调工具，实现高效且可负担的照护。已获早期融资（AgeTechX收录）。,养老服务,照护管理平台
Ubie,,智能科技,AI科技,B2B+B2C,技术服务商,,海外,日本医疗科技初创，用AI引导用户到合适医疗服务（“用技术将人导向恰当医疗”），提供症状检查与分诊平台，并拓展养老与慢病场景。,健康服务,医疗导航AI
极壳科技,极壳科技,康复辅具;消费品,外骨骼;智能硬件,B2B+B2C,服务商,,国内,消费级外骨骼与助力机器人公司（Hypershell），将工业/户外助力技术向康复与老年助行延伸。2025年完成7000万美元融资。,康复设备,外骨骼
蓓明医疗,蓓明医疗,养老服务;医疗健康,康复医疗;智慧养老,B2B,制造商(硬件/设备),,国内,脑控功能性电刺激（BCI-FES）康复设备公司，高密度矩阵式FES可实现单根手指精细化独立控制，让偏瘫患者用“意念”驱动手指活动。2025年亮相济南银发经济项目,医疗健康,脑机接口康复
兴业控股,兴业控股,养老服务;金融保险,产业资本;养老社区,B2B+B2C,服务商,,国内,港股上市公司（0132.HK），以医养结合为核心扩张养老业务版图，2026年中标的广东郁南养老服务项目标志其走出佛山大本营。银发经济“十五五”规划纲要下加速布局,养老服务,运营商
太医管家,太医管家,医疗健康,远程医疗,B2B+B2C,平台,,国内,以家庭医生为入口的一站式管理式医疗服务平台，汇集优质医疗资源满足用户健康管理需求。获9.2亿元战略轮融资（上海国际资管等参与）。,健康服务,家庭医生平台
深睿医疗,深睿医疗,养老服务,智慧养老,B2B,技术服务商,,国内,将AI引入医疗全流程（影像诊断、临床决策）的医疗人工智能企业，覆盖医疗机构与居民健康场景。2024-2025年获近5亿元投资。,医疗健康,AI医疗
杭州微脉,杭州微脉,医疗健康,慢病管理,B2B+B2C,平台,,国内,基于阿里云基础设施的SaaS医疗与健康平台，提供全流程就医管理与慢病/健康管理服务，依赖区域医疗网络（江浙沪）。,健康服务,慢病管理SaaS
傲意科技,傲意科技,养老服务;精神健康,心理健康服务;智慧养老,B2B,制造商(硬件/设备),,国内,脑机接口（BCI）与智能神经康复企业，涉足人体感知缺失康复、智能神经康复训练，与多家医疗机构合作。,医疗健康,脑机接口
星尘智能,星尘智能,智能科技,AI科技;机器人,B2B,服务商,,国内,开发Astribot S1等人形机器人，具备自然对话、灵活感知与操作能力，应用场景涵盖医护、教育、娱乐等。获资本多轮加注。,养老机器人,人形机器人
松延动力,松延动力,智能科技,AI科技;机器人,B2B,服务商,,国内,通用人形机器人与具身智能公司，曾与顶流网红合跳“斧头舞”出圈，获英诺天使等机构投资，探索家庭陪护等场景。,养老机器人,人形机器人
白马星球,白马星球,文娱社交;智能科技,旅游;照护系统,B2B+B2C,平台,,国内,通过整合健康管理、生活照料、教育培训、休闲旅游等资源，构建全方位养老服务生态系统，解决养老服务商资源分散、缺乏规模效应问题。,养老照护平台,智慧平台
锋物科技,锋物科技,智能科技,照护系统,B2B,技术服务商,,国内,通过AI智慧运营平台赋能智慧养老与物业资管领域，打通社区居家养老服务链路。,适老科技,智慧运营平台
乐湾养老,乐湾养老,智能科技,数字化,B2B,平台,,国内,通过平台深度结合物联网技术，为老年人提供定位预警、健康管理、环境监测等服务。,智慧养老,IoT平台
中科华意,中科华意,养老服务;医疗健康;精神健康,康复医疗;心理健康服务;智慧养老;认知症,B2B,制造商(硬件/设备),,国内,以无创神经调控为核心技术，基于无创电刺激脑机接口控制方法，提供多参数脑认知障碍检测与神经反馈运动训练。,医疗健康,神经调控
阶梯医疗,阶梯医疗,养老服务,智慧养老,B2B,制造商(硬件/设备),,国内,植入式脑机接口（BCI）公司，研发用于神经系统疾病治疗与监测的植入电极系统，涉足神经疾病病灶监测及调控。,医疗健康,脑机接口
宸汐健康,宸汐健康,医疗健康;金融保险,保险;健康管理,B2B+B2C,平台,,国内,构建管理式健康服务平台，整合医院、患者与保险公司等主体，实现全产业链融合的健康管理服务。,健康服务,管理式健康
智医慧云,智医慧云,文娱社交,咨询研究,B2B,制造商(药),,国内,通过数字营销服务连接制药公司与各大医疗平台，提供药企边界服务与渠道链接。,健康服务,数字营销
泉智博,泉智博,智能科技,机器人,B2B,服务商,,国内,机器人一体化关节模组解决方案提供商，2025年关节模组年出货量突破10万台，与乐聚机器人、松延动力等多家本体企业合作。2026年4月完成数亿元A++轮（深投控领,智能硬件,机器人关节模组
海每康医疗,海每康医疗,医疗健康,康复医疗,B2B,制造商(硬件/设备),,国内,涉足人体感知缺失康复、感知觉修复等神经康复领域的医疗企业。,医疗健康,康复
纽聆氪医疗,纽聆氪医疗,医疗健康,康复医疗,B2B,制造商(硬件/设备),,国内,涉足神经疾病病灶监测及调控等康复医疗领域的企业。,医疗健康,康复
博芮健,博芮健,医疗健康,认知症,B2B,服务商,,国内,研发阿尔茨海默病治疗药物的生物科技公司，通过数智治疗手段切入认知症治疗。,长寿科技/生物医药,阿尔茨海默药
Audicus,,消费品,助听器,B2C,服务商,,海外,直接面向消费者的在线助听器公司，提供平价、可自调的助听器与听力测试，降低老年听力障碍干预门槛。,智能硬件,听觉辅具
Lexie Hearing,,消费品,助听器,B2C,服务商,线上,海外,由WS Audiology支持的DTC助听器品牌，提供APP自助验配与远程听力专家服务，面向轻中度听损老人。,智能硬件,听觉辅具
Audien,,消费品,助听器,B2C,服务商,线上,海外,主打极致平价的自验配助听器品牌，面向预算敏感老年听损人群，通过电商直售。,智能硬件,听觉辅具
Olive Union,,消费品,助听器,B2C,制造商(硬件/设备),,海外,消费级智能耳塞/助听器公司，将听力增强做成时尚可穿戴，降低老年用户佩戴 stigma。,智能硬件,听觉辅具
Earlens,,消费品,助听器,B2B+B2C,技术服务商,,海外,采用光传导（light-based）技术的差异化助听器公司，解决传统气导助听器音质瓶颈，面向中重度听损。,智能硬件,听觉辅具
IrisVision,,消费品,眼镜,B2B+B2C,服务商,,海外,通过AR头显为黄斑变性等低视力老人提供视觉增强，放大并提升剩余视力，改善独立生活能力。,智能硬件,视觉障碍
eSight,,消费品,眼镜,B2C,服务商,,海外,低视力电子眼镜公司，用高清晰摄像头与显示屏为法定盲人/低视力者提供实时视觉增强。,智能硬件,视觉障碍
NuEyes,,消费品,眼镜,B2C,技术服务商,,海外,推出轻量AI智能眼镜，为低视力与阅读困难的老人提供放大、对比增强与文字识别。,智能硬件,视觉障碍
WHILL,,养老服务;消费品,智能硬件;适老化,B2B+B2C,制造商(硬件/设备),,海外,日本个人出行（personal mobility）公司，推出造型时尚、操控灵活的个人电动移动设备，提升老人户外自主出行。,康复设备,智能轮椅
Permobil,,养老服务,适老化,B2B,服务商,,海外,全球动力轮椅与坐姿支撑系统龙头（Investor AB体系），深度服务重度行动障碍与老年人群。,康复设备,智能轮椅
Sunrise Medical,,养老服务;消费品,智能硬件;适老化,B2B,服务商,,海外,全球轮椅与移动辅具巨头，提供手动/动力轮椅、轻量化出行方案，覆盖老年与残障人群。,康复设备,智能轮椅
ReWalk Robotics,,康复辅具;消费品,外骨骼;智能硬件,B2B,服务商,,海外,上市外骨骼机器人公司（NASDAQ:RWLK），为脊髓损伤与卒中后行走障碍提供医用/家用外骨骼康复系统。,康复设备,外骨骼
Ekso Bionics,,康复辅具;消费品,外骨骼;智能硬件,B2B,服务商,,海外,上市外骨骼机器人公司（NASDAQ:EKSO），为卒中与神经损伤患者提供临床级步态康复外骨骼。,康复设备,外骨骼
MindMate,,医疗健康,认知症;认知训练,B2C,服务商,线上,海外,面向认知障碍与早期痴呆的APP，提供脑力训练、记忆游戏与日常提醒，延缓认知衰退。,认知健康,认知训练
Constant Therapy,,医疗健康;精神健康,康复医疗;心理健康服务,B2B+B2C,服务商,,海外,提供基于证据的神经康复（言语、语言、认知）个性化训练平台，用于卒中与脑损伤后恢复。,认知健康,神经康复
HappyNeuron Pro,,医疗健康,认知症;认知训练,B2B,服务商,,海外,面向临床与治疗师的专业认知训练平台，提供标准化大脑训练项目用于老年认知康复。,认知健康,认知训练
CogniFit,,医疗健康,认知症,B2B+B2C,平台,,海外,认知评估与脑训练平台，提供标准化认知测评与个性化训练，用于老年认知健康监测。,认知健康,认知评估
Dakim,,医疗健康,认知症;认知训练,B2B+B2C,服务商,,海外,早期老年认知训练公司，提供大屏触摸式脑健康活动，用于养老社区与家庭认知刺激。,认知健康,认知训练
BrainHQ,,医疗健康,认知症;认知训练,B2B+B2C,服务商,,海外,Posit Science出品的循证脑训练平台，多项研究支持其改善老年认知处理速度。,认知健康,认知训练
